payment_id,amount,final_action,chosen_tone,recovered,recovery_path
PAY00001,1301.08,auto_retry,formal,False,"auto_retry (technical, not counted as recovery intervention)"
PAY00002,3921.83,auto_retry,casual,False,"auto_retry (technical, not counted as recovery intervention)"
PAY00003,3677.79,send_update_reminder,casual,True,paid after keeping promise
PAY00004,998.51,offer_payment_plan,empathetic,False,promise broken -> escalated to reminder
PAY00005,1831.44,send_soft_reminder,formal,True,paid immediately after message
PAY00006,3745.48,auto_retry,empathetic,False,"auto_retry (technical, not counted as recovery intervention)"
PAY00007,2007.82,send_soft_reminder,casual,True,paid immediately after message
PAY00008,4405.89,send_update_reminder,casual,True,paid after keeping promise
PAY00009,3003.85,auto_retry,casual,False,"auto_retry (technical, not counted as recovery intervention)"
PAY00010,1591.49,auto_retry,empathetic,False,"auto_retry (technical, not counted as recovery intervention)"
PAY00011,3386.16,send_update_reminder,empathetic,True,paid immediately after message
PAY00012,3528.43,auto_retry,casual,False,"auto_retry (technical, not counted as recovery intervention)"
PAY00013,1034.94,deferred,casual,False,blocked by compliance gate -> outside allowed messaging window (9:00-20:00) — simulated attempt at 23:00
PAY00014,2285.61,auto_retry,formal,False,"auto_retry (technical, not counted as recovery intervention)"
PAY00015,3219.45,human_handoff,formal,False,blocked by compliance gate -> opt-out respected — customer opted out of messaging
PAY00016,2613.29,auto_retry,empathetic,False,"auto_retry (technical, not counted as recovery intervention)"
PAY00017,2494.22,auto_retry,formal,False,"auto_retry (technical, not counted as recovery intervention)"
PAY00018,1199.31,send_update_reminder,formal,True,paid immediately after message
PAY00019,2481.0,deferred,casual,False,blocked by compliance gate -> outside allowed messaging window (9:00-20:00) — simulated attempt at 06:00
PAY00020,1325.75,auto_retry,formal,False,"auto_retry (technical, not counted as recovery intervention)"
PAY00021,3881.17,auto_retry,casual,False,"auto_retry (technical, not counted as recovery intervention)"
PAY00022,497.34,send_soft_reminder,formal,True,paid immediately after message
