payment_id,customer_id,amount,status,failure_reason_raw,true_category,retry_count,timestamp,subscription_id
PAY00001,CUST0054,1301.08,failed,"temporary decline, code 96 - system malfunction",transient,0,2026-08-16,SUB0009
PAY00002,CUST0043,3921.83,failed,"issuing bank not responding, error 91",transient,0,2026-08-12,
PAY00003,CUST0053,3677.79,failed,card expired,customer_action_needed,2,2026-08-05,
PAY00004,CUST0003,998.51,failed,transaction flagged for suspected fraud,risk_flag,2,2026-08-08,
PAY00005,CUST0049,1831.44,failed,insufficient funds - code 51,risk_flag,0,2026-08-11,
PAY00006,CUST0028,3745.48,failed,"issuing bank not responding, error 91",transient,0,2026-08-21,
PAY00007,CUST0047,2007.82,failed,insufficient funds - code 51,risk_flag,1,2026-08-04,
PAY00008,CUST0016,4405.89,failed,card expired,customer_action_needed,0,2026-08-06,
PAY00009,CUST0024,3003.85,failed,gateway timeout - please retry,transient,0,2026-08-06,SUB0001
PAY00010,CUST0057,1591.49,failed,network error during authorization,transient,1,2026-08-03,SUB0006
PAY00011,CUST0039,3386.16,failed,card reported as expired by issuer,customer_action_needed,2,2026-08-02,SUB0009
PAY00012,CUST0040,3528.43,failed,"issuing bank not responding, error 91",transient,0,2026-08-10,
PAY00013,CUST0027,1034.94,failed,invalid CVV entered,customer_action_needed,1,2026-08-02,SUB0021
PAY00014,CUST0017,2285.61,failed,gateway timeout - please retry,transient,1,2026-08-01,
PAY00015,CUST0009,3219.45,failed,insufficient funds - code 51,risk_flag,0,2026-08-09,SUB0025
PAY00016,CUST0028,2613.29,failed,gateway timeout - please retry,transient,3,2026-08-15,SUB0019
PAY00017,CUST0015,2494.22,failed,"issuing bank not responding, error 91",transient,1,2026-08-12,
PAY00018,CUST0015,1199.31,failed,authentication failed - OTP not entered in time,customer_action_needed,2,2026-08-14,
PAY00019,CUST0058,2481.0,failed,insufficient funds - code 51,risk_flag,2,2026-08-06,
PAY00020,CUST0017,1325.75,failed,gateway timeout - please retry,transient,1,2026-08-14,SUB0018
PAY00021,CUST0005,3881.17,failed,network error during authorization,transient,0,2026-08-07,SUB0021
PAY00022,CUST0002,497.34,failed,transaction flagged for suspected fraud,risk_flag,0,2026-08-02,
PAY00023,CUST0012,247.65,failed,network error during authorization,transient,1,2026-08-07,
PAY00024,CUST0008,882.0,failed,"temporary decline, code 96 - system malfunction",transient,0,2026-08-09,SUB0002
PAY00025,CUST0002,3118.68,failed,"issuing bank not responding, error 91",transient,2,2026-08-13,SUB0011
PAY00026,CUST0057,3942.03,failed,"issuing bank not responding, error 91",transient,0,2026-08-06,SUB0011
PAY00027,CUST0040,3295.05,failed,gateway timeout - please retry,transient,1,2026-08-14,SUB0028
PAY00028,CUST0047,2879.07,failed,"temporary decline, code 96 - system malfunction",transient,0,2026-08-18,
PAY00029,CUST0017,4079.32,failed,network error during authorization,transient,0,2026-08-08,SUB0002
PAY00030,CUST0015,1499.71,failed,gateway timeout - please retry,transient,0,2026-08-20,SUB0015
PAY00031,CUST0043,3088.23,failed,gateway timeout - please retry,transient,0,2026-08-13,SUB0001
PAY00032,CUST0019,2242.93,failed,authentication failed - OTP not entered in time,customer_action_needed,3,2026-08-11,
PAY00033,CUST0016,4596.45,failed,card expired,customer_action_needed,0,2026-08-07,SUB0030
PAY00034,CUST0018,1823.75,failed,authentication failed - OTP not entered in time,customer_action_needed,1,2026-08-01,SUB0003
PAY00035,CUST0041,1122.39,failed,"temporary decline, code 96 - system malfunction",transient,2,2026-08-19,
PAY00036,CUST0002,1245.73,failed,network error during authorization,transient,1,2026-08-04,SUB0014
PAY00037,CUST0054,1078.15,failed,"insufficient funds, repeated attempt",risk_flag,0,2026-08-10,
PAY00038,CUST0046,4240.14,failed,network error during authorization,transient,2,2026-08-13,
PAY00039,CUST0005,1399.92,failed,network error during authorization,transient,3,2026-08-06,
PAY00040,CUST0047,1402.9,failed,gateway timeout - please retry,transient,0,2026-08-10,
PAY00041,CUST0014,4175.62,failed,"insufficient funds, repeated attempt",risk_flag,0,2026-08-09,
PAY00042,CUST0030,1778.77,failed,"issuing bank not responding, error 91",transient,0,2026-08-17,SUB0012
PAY00043,CUST0039,2866.77,failed,invalid CVV entered,customer_action_needed,2,2026-08-19,SUB0024
PAY00044,CUST0051,249.61,failed,card expired,customer_action_needed,0,2026-08-15,SUB0001
PAY00045,CUST0013,3927.08,failed,"declined by issuing bank - do not honor, code 05",risk_flag,0,2026-08-04,SUB0009
PAY00046,CUST0046,626.19,failed,"issuing bank not responding, error 91",transient,0,2026-08-01,
PAY00047,CUST0014,2617.89,failed,network error during authorization,transient,1,2026-08-09,
PAY00048,CUST0040,826.45,failed,network error during authorization,transient,2,2026-08-18,
PAY00049,CUST0059,4091.64,failed,"issuing bank not responding, error 91",transient,1,2026-08-20,
PAY00050,CUST0031,2874.44,failed,"insufficient funds, repeated attempt",risk_flag,2,2026-08-18,SUB0001
PAY00051,CUST0039,814.9,failed,invalid CVV entered,customer_action_needed,0,2026-08-18,SUB0022
PAY00052,CUST0036,1029.34,failed,network error during authorization,transient,0,2026-08-04,
PAY00053,CUST0019,2232.45,failed,network error during authorization,transient,1,2026-08-02,SUB0003
PAY00054,CUST0031,1987.6,failed,"temporary decline, code 96 - system malfunction",transient,1,2026-08-13,SUB0030
PAY00055,CUST0014,845.15,failed,"insufficient funds, repeated attempt",risk_flag,0,2026-08-04,
PAY00056,CUST0024,3048.3,failed,"issuing bank not responding, error 91",transient,1,2026-08-10,
PAY00057,CUST0018,846.46,failed,"issuing bank not responding, error 91",transient,2,2026-08-05,SUB0023
PAY00058,CUST0043,2829.94,failed,"declined by issuing bank - do not honor, code 05",risk_flag,1,2026-08-05,SUB0017
PAY00059,CUST0036,2283.22,failed,network error during authorization,transient,0,2026-08-12,SUB0016
PAY00060,CUST0015,2597.98,failed,card expired,customer_action_needed,0,2026-08-17,
PAY00061,CUST0009,4630.94,failed,card expired,customer_action_needed,1,2026-08-05,
PAY00062,CUST0060,509.22,failed,"declined by issuing bank - do not honor, code 05",risk_flag,2,2026-08-01,
PAY00063,CUST0042,2582.76,failed,authentication failed - OTP not entered in time,customer_action_needed,2,2026-08-07,
PAY00064,CUST0039,1084.39,failed,"temporary decline, code 96 - system malfunction",transient,0,2026-08-18,
PAY00065,CUST0054,1646.62,failed,card expired,customer_action_needed,1,2026-08-08,
PAY00066,CUST0055,3867.56,failed,"temporary decline, code 96 - system malfunction",transient,0,2026-08-12,
PAY00067,CUST0010,3978.89,failed,card expired,customer_action_needed,1,2026-08-12,
PAY00068,CUST0013,1051.26,failed,card reported as expired by issuer,customer_action_needed,0,2026-08-03,SUB0014
PAY00069,CUST0047,2500.24,failed,"insufficient funds, repeated attempt",risk_flag,1,2026-08-01,
PAY00070,CUST0015,964.22,failed,gateway timeout - please retry,transient,2,2026-08-10,SUB0013
PAY00071,CUST0023,1996.79,failed,network error during authorization,transient,0,2026-08-05,
PAY00072,CUST0030,3222.23,failed,"temporary decline, code 96 - system malfunction",transient,2,2026-08-06,SUB0005
PAY00073,CUST0045,2861.75,failed,authentication failed - OTP not entered in time,customer_action_needed,1,2026-08-15,SUB0004
PAY00074,CUST0051,3910.11,failed,card reported as expired by issuer,customer_action_needed,1,2026-08-11,
PAY00075,CUST0046,4875.51,failed,"issuing bank not responding, error 91",transient,2,2026-08-13,SUB0008
PAY00076,CUST0046,1836.41,failed,"issuing bank not responding, error 91",transient,0,2026-08-02,SUB0016
PAY00077,CUST0025,2299.99,failed,network error during authorization,transient,1,2026-08-06,
PAY00078,CUST0041,1730.47,failed,"temporary decline, code 96 - system malfunction",transient,2,2026-08-06,
PAY00079,CUST0010,3516.29,failed,card reported as expired by issuer,customer_action_needed,0,2026-08-16,
PAY00080,CUST0030,3064.38,failed,"temporary decline, code 96 - system malfunction",transient,0,2026-08-15,
PAY00081,CUST0050,4830.84,failed,gateway timeout - please retry,transient,3,2026-08-15,SUB0012
PAY00082,CUST0032,4464.74,failed,"temporary decline, code 96 - system malfunction",transient,0,2026-08-02,
PAY00083,CUST0009,4676.91,failed,"declined by issuing bank - do not honor, code 05",risk_flag,1,2026-08-18,
PAY00084,CUST0056,3024.96,failed,"issuing bank not responding, error 91",transient,0,2026-08-08,
PAY00085,CUST0017,4798.25,failed,gateway timeout - please retry,transient,2,2026-08-02,SUB0020
PAY00086,CUST0014,1081.74,failed,gateway timeout - please retry,transient,0,2026-08-12,
PAY00087,CUST0023,1369.66,failed,"insufficient funds, repeated attempt",risk_flag,0,2026-08-15,SUB0019
PAY00088,CUST0003,4031.44,failed,insufficient funds - code 51,risk_flag,0,2026-08-10,
PAY00089,CUST0054,3595.31,failed,"issuing bank not responding, error 91",transient,1,2026-08-21,SUB0021
PAY00090,CUST0031,2452.73,failed,card expired,customer_action_needed,0,2026-08-20,SUB0004
PAY00091,CUST0060,3615.32,failed,"temporary decline, code 96 - system malfunction",transient,3,2026-08-01,SUB0012
PAY00092,CUST0024,4804.84,failed,card reported as expired by issuer,customer_action_needed,3,2026-08-09,SUB0020
PAY00093,CUST0053,4207.86,failed,network error during authorization,transient,3,2026-08-03,SUB0016
PAY00094,CUST0005,733.98,failed,insufficient funds - code 51,risk_flag,0,2026-08-11,
PAY00095,CUST0055,2854.9,failed,"issuing bank not responding, error 91",transient,2,2026-08-13,SUB0021
PAY00096,CUST0001,1114.21,failed,"insufficient funds, repeated attempt",risk_flag,0,2026-08-06,SUB0023
PAY00097,CUST0038,3349.7,failed,"declined by issuing bank - do not honor, code 05",risk_flag,0,2026-08-10,
PAY00098,CUST0031,1579.52,failed,"issuing bank not responding, error 91",transient,0,2026-08-09,SUB0030
PAY00099,CUST0016,2270.66,failed,network error during authorization,transient,0,2026-08-20,SUB0018
PAY00100,CUST0012,1719.26,failed,"issuing bank not responding, error 91",transient,0,2026-08-05,
PAY00101,CUST0054,1229.43,failed,insufficient funds - code 51,risk_flag,1,2026-08-17,
PAY00102,CUST0027,2341.32,failed,insufficient funds - code 51,risk_flag,0,2026-08-10,
PAY00103,CUST0046,4862.6,failed,network error during authorization,transient,2,2026-08-07,SUB0023
PAY00104,CUST0046,4947.07,failed,gateway timeout - please retry,transient,0,2026-08-14,SUB0003
PAY00105,CUST0011,791.0,failed,gateway timeout - please retry,transient,0,2026-08-01,
PAY00106,CUST0059,3939.38,failed,network error during authorization,transient,0,2026-08-13,
PAY00107,CUST0028,2659.37,failed,"issuing bank not responding, error 91",transient,0,2026-08-03,SUB0023
PAY00108,CUST0020,3073.07,failed,card reported as expired by issuer,customer_action_needed,1,2026-08-07,SUB0018
PAY00109,CUST0021,3137.69,failed,invalid CVV entered,customer_action_needed,0,2026-08-18,
PAY00110,CUST0014,2505.3,failed,"issuing bank not responding, error 91",transient,0,2026-08-06,SUB0006
PAY00111,CUST0041,3021.26,failed,gateway timeout - please retry,transient,3,2026-08-09,SUB0008
PAY00112,CUST0014,3448.4,failed,"declined by issuing bank - do not honor, code 05",risk_flag,1,2026-08-20,
PAY00113,CUST0018,2690.3,failed,card reported as expired by issuer,customer_action_needed,0,2026-08-15,
PAY00114,CUST0060,3802.35,failed,transaction flagged for suspected fraud,risk_flag,2,2026-08-20,
PAY00115,CUST0057,1021.63,failed,gateway timeout - please retry,transient,0,2026-08-17,SUB0019
PAY00116,CUST0027,4034.34,failed,"insufficient funds, repeated attempt",risk_flag,0,2026-08-06,
PAY00117,CUST0057,545.29,failed,"declined by issuing bank - do not honor, code 05",risk_flag,0,2026-08-17,
PAY00118,CUST0024,3223.75,failed,"issuing bank not responding, error 91",transient,1,2026-08-19,
PAY00119,CUST0011,1205.75,failed,"issuing bank not responding, error 91",transient,0,2026-08-08,
PAY00120,CUST0038,3550.52,failed,"temporary decline, code 96 - system malfunction",transient,0,2026-08-09,
PAY00121,CUST0030,1231.23,failed,insufficient funds - code 51,risk_flag,1,2026-08-01,
PAY00122,CUST0018,267.45,failed,network error during authorization,transient,3,2026-08-05,
PAY00123,CUST0018,2066.81,failed,invalid CVV entered,customer_action_needed,1,2026-08-19,
PAY00124,CUST0035,4171.62,failed,"issuing bank not responding, error 91",transient,2,2026-08-04,
PAY00125,CUST0039,3390.58,failed,"insufficient funds, repeated attempt",risk_flag,3,2026-08-13,
PAY00126,CUST0057,4972.77,failed,authentication failed - OTP not entered in time,customer_action_needed,1,2026-08-15,
PAY00127,CUST0038,1853.81,failed,invalid CVV entered,customer_action_needed,0,2026-08-01,
PAY00128,CUST0008,3589.06,failed,insufficient funds - code 51,risk_flag,2,2026-08-07,
PAY00129,CUST0037,1682.24,failed,card expired,customer_action_needed,0,2026-08-15,
PAY00130,CUST0059,1046.03,failed,"declined by issuing bank - do not honor, code 05",risk_flag,1,2026-08-03,SUB0018
PAY00131,CUST0028,1203.6,failed,invalid CVV entered,customer_action_needed,1,2026-08-10,
PAY00132,CUST0006,3966.37,failed,"insufficient funds, repeated attempt",risk_flag,0,2026-08-17,
PAY00133,CUST0005,2470.38,failed,network error during authorization,transient,2,2026-08-11,
PAY00134,CUST0058,3714.18,failed,card reported as expired by issuer,customer_action_needed,1,2026-08-08,SUB0015
