payment_id,customer_id,amount,predicted_category,chosen_action,chosen_tone,final_action,gate_status,gate_reason,simulated_attempt_hour
PAY00001,CUST0054,1301.08,transient,auto_retry,formal,auto_retry,ALLOWED,no compliance issues,9
PAY00002,CUST0043,3921.83,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,10
PAY00003,CUST0053,3677.79,customer_action_needed,send_update_reminder,empathetic,send_update_reminder,ALLOWED,contact attempt 1/3,14
PAY00004,CUST0003,998.51,risk_flag,offer_payment_plan,empathetic,offer_payment_plan,ALLOWED,contact attempt 1/3,12
PAY00005,CUST0049,1831.44,risk_flag,send_soft_reminder,formal,send_soft_reminder,ALLOWED,contact attempt 1/3,17
PAY00006,CUST0028,3745.48,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,17
PAY00007,CUST0047,2007.82,risk_flag,send_soft_reminder,casual,send_soft_reminder,ALLOWED,contact attempt 1/3,19
PAY00008,CUST0016,4405.89,customer_action_needed,send_update_reminder,casual,send_update_reminder,ALLOWED,contact attempt 1/3,17
PAY00009,CUST0024,3003.85,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,18
PAY00010,CUST0057,1591.49,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,9
PAY00011,CUST0039,3386.16,customer_action_needed,send_update_reminder,empathetic,send_update_reminder,ALLOWED,contact attempt 1/3,17
PAY00012,CUST0040,3528.43,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,21
PAY00013,CUST0027,1034.94,customer_action_needed,send_update_reminder,casual,deferred,BLOCKED,outside allowed messaging window (9:00-20:00) — simulated attempt at 23:00,23
PAY00014,CUST0017,2285.61,transient,auto_retry,formal,auto_retry,ALLOWED,no compliance issues,7
PAY00015,CUST0009,3219.45,risk_flag,send_soft_reminder,formal,human_handoff,BLOCKED,opt-out respected — customer opted out of messaging,16
PAY00016,CUST0028,2613.29,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,14
PAY00017,CUST0015,2494.22,transient,auto_retry,formal,auto_retry,ALLOWED,no compliance issues,12
PAY00018,CUST0015,1199.31,customer_action_needed,send_update_reminder,formal,send_update_reminder,ALLOWED,contact attempt 1/3,14
PAY00019,CUST0058,2481.0,risk_flag,send_soft_reminder,casual,deferred,BLOCKED,outside allowed messaging window (9:00-20:00) — simulated attempt at 06:00,6
PAY00020,CUST0017,1325.75,transient,auto_retry,formal,auto_retry,ALLOWED,no compliance issues,18
PAY00021,CUST0005,3881.17,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,4
PAY00022,CUST0002,497.34,risk_flag,send_soft_reminder,formal,send_soft_reminder,ALLOWED,contact attempt 1/3,14
PAY00023,CUST0012,247.65,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,14
PAY00024,CUST0008,882.0,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,16
PAY00025,CUST0002,3118.68,transient,auto_retry,formal,auto_retry,ALLOWED,no compliance issues,6
PAY00026,CUST0057,3942.03,transient,auto_retry,empathetic,auto_retry,ALLOWED,no compliance issues,12
PAY00027,CUST0040,3295.05,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,19
PAY00028,CUST0047,2879.07,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,14
PAY00029,CUST0017,4079.32,transient,auto_retry,formal,auto_retry,ALLOWED,no compliance issues,18
PAY00030,CUST0015,1499.71,transient,auto_retry,formal,auto_retry,ALLOWED,no compliance issues,0
PAY00031,CUST0043,3088.23,transient,auto_retry,casual,auto_retry,ALLOWED,no compliance issues,13
